Fala,Categoria
Can't talk. Robbed. Go hell.,Negativa
Dad! We've been robbed!,Negativa
"Wake up, Dad! Wake up! There was a burglar and he took my saxophone.",Negativa
Woo hoo!,Positiva
And our portable TV!,Negativa
And my necklace.,Negativa
"Eh, that's no big loss.",Neutra
Homer! That necklace was a priceless Bouvier family heirloom.,Negativa
"Oh, you've probably got a whole drawer full of 'em.",Neutra
"Well... Yes, I do. But they're all heirlooms, too.",Neutra
The burglar even took my stamp collection.,Negativa
YOU had a stamp collection?,Neutra
Stamp collection. Haw haw!,Neutra
"Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",Neutra
"Shhh, quiet Lisa.",Neutra
"Hey, the burglar left his calling card.",Positiva
"""You have just been robbed by The Springfield Cat Burglar""... Cute.",Positiva
"Hidilly ho, neighboreenos.",Neutra
You folks got robbed too? The burglar took my Shroud of Turin beach towels.,Negativa
Wow. It's a crime wave.,Neutra
Good Lord! My Stormin' Norman Commemorative Plates stolen... again.,Neutra
Hey! I thought I had more stuff than this.,Neutra
"We are insured, aren't we, Mom?",Negativa
"Homer, tell your child what you bought when I sent you to town to get some insurance.",Positiva
"Curse you, Magic Beans.",Neutra
"Oh, stop blaming the beans.",Neutra
"Hello, police? Are you sitting down? Good. I wish to report a robbery!",Neutra
"A robbery, right. Thanks for the report.",Neutra
"Another one, Lou. 723 Evergreen Terrace.",Neutra
"Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow.",Neutra
"Hey look, Chief. It's pointing right at this police station.",Neutra
Let's get outta here!,Neutra
"When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be.",Negativa
"So, professor, would you say it's time for everyone to panic?",Neutra
"Yes I would, Kent.",Negativa
"Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. Gosh, look at me, I'm sweating like a pig here...",Positiva
Ahhh. Aw man... that's better.,Positiva
"Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on.",Negativa
"Ow, my jugular! Any questions?",Negativa
Let me check my reason list.,Negativa
Yep. It's on here.,Positiva
"Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety.",Negativa
"Well, the the real humans won't uh.. won't burn quite so fast there.",Neutra
Cool! High-tech security system.,Neutra
"Alright, free laserium. All the colors of the bow, man.",Negativa
My cataracts are gone! I can see again! All the beauty of nat...,Positiva
"I'm blind! Oh well, easy come easy go.",Negativa
"It's the cat burglar! Please, don't kill me!",Negativa
"Abe, can I use your ointment?",Neutra
"Oh, it's you, Molloy. Alright. But this time clean off the applicator.",Positiva
